path,bytes,sha256,license,source
sesler/bongos/2_14.wav,80606,bd8ffd11df658b70c6b1834c64377c3f6cef3889fa3be121e2dbda2400d4fac4,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_15.wav,73398,037fa95b4f4b24468ea89e050d520faacfc36cb54e151ae653b5ed9b6bd89500,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_16.wav,66606,fada4a62b9adc0a7040758b5c103c497d507872b46bcb16bfbf3134ff5e520f9,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_17.wav,94712,7ced9ddba085c41e992b2d53ae495b668de4aafaf69e19ab88aaf05ad961935b,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_18.wav,48006,4c950326d89f75409a7838c486d317df679e708e193bc4b4630068e2d9df1ec8,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_19.wav,38862,34285bdb54011c05551fae5a07b8716052b46d5c3d34fd7add8bdf40d0719033,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/bongos/2_20.wav,67232,ea07ae8ac37cd6e0de68514cfa20942e524f20595513e79a36105fb9b2b0c31c,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/101.wav,55842,0889b3fcdb23d0e71783d1b8473ae5e11ada02f14735f203b90bb2e1e7e54d8a,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/102.wav,52602,ede83ce5b690380fa822781cd4a1f8f78fd58288df2b4172f67c1c9b91070754,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/103.wav,44892,e5fda8c38dfa1f30e5cd456ea2cb808a84078cb3b20c41258b1263c1ee9e877d,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/104.wav,75524,88f3d9eeef63e64044cd151b6ce92a68d870e09e04a0100134615f1741acc6d9,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/105.wav,57282,e8d08eb225c4567d6d22f253c34335f81e7b658b59075a654437ead687911c12,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/106.wav,54066,c8c922ef72e15984caaff683eddffb04a5b5366ca112cce5f2ec6145e1805c6d,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/107.wav,54692,56c10131d1e2c5f891793d7397c5b7e8cbc75b0de1b937837b1078e2e7a3b7b1,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/109.wav,65958,0f7cb8902c13976306fad3dbed275e87b0bd8f09da341c9c56cb2fb46d6cab99,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/110.wav,73604,f01df1e46f348632fc5b55430d741da806e4e313a9ea2e75666d7d80ce97adc2,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/111.wav,57410,d730aa50f511801f714a8f92945b33ff39e0f752052208102122e8542cf241d7,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/115.wav,56262,1f27dd717b14244c87199319bd5b458fc6f22ca4f622fe1e384918f9905206f3,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
